Compound No.,SMILES,output
41,CC1(C)CC2=C(SC(NCC3=CC=CO3)=C2C(=O)C1)C#N,-1.204119983
32,CC1=C(C(C)=C(C#N)C(=N1)S(=O)(=O)C1=CC=CC=C1)[N+]([O-])=O,-1.113943352
46,FC1=CC=C2N(CC3=CC4=CC=CC=C4S3)C(=O)C(=O)C2=C1,-0.683047038
87,CN1N=C(C=C1C1=CC=C(S1)C(=O)NC1=C(C(C)=NO1)[N+]([O-])=O)C(F)(F)F,-0.698970004
84,CC1COC2=C1C(=O)C(=O)C1=C3CCCC(C)(C)C3=CC=C21,-2.35545152
49,CCCC1=CC(Cl)=NC(SCC(=O)NC2=CC=C(Cl)C=C2)=N1,-1.477121255
68,CC1CC(C)CN(C1)S(=O)(=O)C1=CC2=C(C=C1)N(CC1=CC=CC=C1)C(=O)C2=O,-0.450249108
45,OC(=O)C1=CC=C(C=C1)S(=O)(=O)C1=CC(Br)=C(O)C(Br)=C1,-1.204119983
79,CC1COC2=C1C(=O)C(=O)C1=C2C=CC2=C(C)C=CC=C12,-1.158362492
75,IC1=CC=C2N(CC3=CC4=CC=CC=C4S3)C(=O)C(=O)C2=C1,0.022276395
67,CCCCC1=CC=C(NC(=O)CSC2=NC(C3CCCCC3)=C(C#N)C(=O)N2)C(C)=C1,-2.301029996
28,ClC1=CC(OC(=O)C2=CC=NC=C2)=CN=C1,0.785156152
74,CN1N=C(C)C(=C1NCC1=CC=C(S1)C1=CC=CS1)[N+]([O-])=O,-1.301029996
90,O=C(N1CCN(CC1)S(=O)(=O)C1=CC2=C(NC(=O)C2=O)C=C1)C1=CC=CO1,-1.003029471
33,ClC1=CC(CN2CCN(CC2)S(=O)(=O)C2=CC3=C(NC(=O)C3=O)C=C2)=CC=C1,-1.501196242
42,CC1=CC=C(C=C1)S(=O)(=O)C1=NC(C)=C(C(C)=C1C#N)[N+]([O-])=O,-1.113943352
40,CC1=NC(=CS1)C1=NC(=CS1)C1=NC(SCC(=O)NC2=CC=C(Cl)C=C2)=NC=C1,-1.146128036
11,O=C1N(CC2=CC=CC=C2)C2=C(C=C(C=C2)S(=O)(=O)N2CCOCC2)C1=O,-1.14176323
3,ClC1=CC(OC(=O)C2=CC3=C(OC2=O)C=CC=C3)=CN=C1,0.966576245
39,CC(=O)C1=CC=CC=C1S(=O)(=O)C1=CC=CC=C1C(O)=O,-1.204119983
53,CC(C)C1=CC=C(NC(=O)CSC2=NC=CC(=N2)C2=CSC(COC3=C(Cl)C=CC=C3)=N2)C=C1,-2.301029996
50,[O-][N+](=O)C1=C(C=CC=C1)C1=CC=C(O1)C(=O)OC1=CN=CC(Cl)=C1,0.681936665
20,CSC1=C(C(C)=C(S1)C1=NC(C)=CS1)C1=CC=NC(SCC(=O)NC2=CC=C(Cl)C=C2)=N1,-1.041392685
89,CC1=COC2=C1C(=O)C(=O)C1=C3CCCC(C)(CO)C3=CC=C21,-1.394451681
94,ClC1=CC=C(NC(=O)CSC2=NC=CC(=N2)C2=CC(=NO2)C2=C(Cl)C=CC=C2)C=C1,-1.176091259
36,COC(OC)C1=CC(O)=NC(SCC(=O)NC2=CC=C(C=C2)C(F)(F)F)=N1,-2.301029996
34,COC1=C(OC)C=C(NC(=O)CSC2=NC(O)=CC(=N2)C2=CC=CC=C2)C=C1,-1.653212514
56,[O-][N+](=O)C1=CC=CC(=C1)C(=O)OC1=CN=CC(Cl)=C1,0.164943898
70,CC(SC1=NC(C2=CC=CC=C2)=C(C#N)C(=O)N1)C(=O)NC1=CC=C(Cl)C=C1,BLINDED
66,O=C1N(CC2=CC=C3C=CC=CC3=C2)C2=CC=C(C=C2C1=O)S(=O)(=O)N1CCOCC1,-1.600646236
54,CC1CCN(CC1)S(=O)(=O)C1=CC2=C(C=C1)N(C)C(=O)C2=O,-1.2509077
37,IC1=CC=C2N(C\C=C\C3=CC4=CC=CC=C4S3)C(=O)C(=O)C2=C1,BLINDED
